gene	log2(Fold_change)	p-value
DANT2	2.3907156262672653	0.0
SYCE1	-1.0359527557541701	0.0
SPRNP1	-1.0359527557541701	0.0
DCAF6	-0.6799590728844528	0.0
SMG7	2.566120635547091	0.0
GSE1	1.9526123645232298	0.0
GAK	1.1847044424080175	0.0
TRAPPC9	-0.9443115018578235	0.0
PPIEL	-0.7947942540765629	0.0
NDN	-1.2336661483950506	0.0
ESR1	1.3420620711171598	0.0
NRXN2	0.97124475644152	0.0
STAG2	-1.5209965171883728	0.0
CORO2B	1.3213911826002986	0.0
ZNF503-AS2	1.159693614645152	0.0
ZBTB46	1.5313183152931744	0.0
BCOR	0.9257258155704882	0.0
BOP1	0.8917106193954192	0.0
LOC100506990	-0.7537650432236362	0.0
PAK3	2.0148490268933683	0.0
POU5F1B	0.6200500658560248	0.0
CASC8	0.6200500658560248	0.0
CACNA1F	1.0358294607977665	0.0
FAM153A	-1.4929682801088022	0.0
LINC01560	1.3053428616255882	0.0
ZNF41	1.3053428616255882	0.0
MECP2	-0.9730333454606003	0.0
POU5F1P3	0.6928124746234932	0.0
CLEC4A	0.6928124746234932	0.0
CD99	1.408780486889856	1.1102230246251566e-17
STX8	-1.2231210641749175	1.332267629550188e-16
NBPF15	1.3617599268090985	1.4432899320127036e-16
NBPF25P	1.3617599268090985	1.4432899320127036e-16
ZDHHC8P1	1.3059454893076994	1.8873791418627663e-16
CRIP2	-1.1166369034441297	5.88418203051333e-16
HYDIN	-2.673299211795215	9.769962616701378e-16
CD38	-0.7574165398690575	1.0658141036401504e-15
MST1L	0.661406237572961	1.1435297153639113e-15
DPP6	1.4143567399077692	1.6431300764452318e-15
DTD1	-0.8799430944770472	1.920685832601521e-15
C15orf38-AP3S2	-1.9733476299650385	2.609024107869118e-15
XACT	-2.1413141152365474	6.161737786669619e-15
PAX3	0.8636313912274344	7.80486786311485e-15
RNU6-2	-0.9525952055067766	9.170442183403794e-15
KIF1B	-0.9525952055067766	9.170442183403794e-15
LMX1B	0.7901875010650767	1.1080025785759064e-14
TCP10L2	-1.2846635044581076	1.461053500406706e-14
ANKRD30A	-1.6966795844404423	2.90434343241941e-14
CHRNA7	0.7525288352353405	3.355093980417223e-14
MAGEA9	-1.2541262601609326	3.534950110406499e-14
MAGEA9B	-1.2541262601609326	3.534950110406499e-14
JAKMIP3	0.6241941441288859	4.324318680914985e-14
KCNQ1OT1	1.136751898336029	6.082911951921232e-14
KCNQ1	1.136751898336029	6.082911951921232e-14
PRAMEF18	1.1915061221200258	9.023892744153273e-14
MYO18A	-1.0893778091295028	1.3373746554634637e-13
CYP2W1	-1.4201875640556592	2.0137225220651091e-13
LINC00632	-1.484110985658643	2.0899948438568572e-13
SCFD2	0.5725849999863544	2.3466784071501937e-13
POU5F1	0.7373541600845321	2.571498569636788e-13
NBPF8	-0.9485231714757265	3.8863356977003605e-13
BRF1	1.3335163133433876	5.578204564926637e-13
PCCA	1.3123940326041057	6.330380664110181e-13
