chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat
chrX	114963914	114964117	204	25	0.809039937230642	0.154274037625375	0.654765899605267	132.635659961136
chr10	135382811	135383192	382	42	0.357659115082837	0.733368329889133	-0.375709214806296	-131.397618221131
chrX	114990773	114990962	190	22	0.843767693801769	0.154959000655938	0.688808693145831	122.443127841925
chrX	129091145	129091605	461	46	0.183178722876241	0.485449239299216	-0.302270516422975	-119.849703660055
chr7	57927656	57928041	386	35	0.0946593356352226	0.480907363430296	-0.386248027795074	-113.594922547281
chr1	168025489	168025721	233	34	0.520671183562497	0.834164338222714	-0.313493154660217	-89.4361298516124
chr1	183441547	183441750	204	25	0.333661163708689	0.0563412367991243	0.277319926909565	80.0102541163151
chr9	67340455	67340765	311	24	0.697141411172326	0.303339462068269	0.393801949104057	76.9532011689865
chr7	158750955	158751287	333	24	0.407340800651635	0.0825303537180295	0.324810446933606	76.6466269858269
chr16	85647631	85647937	307	25	0.470375581292648	0.12152059195409	0.348854989338558	71.5283010964861
chr6	44237940	44238233	294	25	0.439210059359245	0.108248772332156	0.330961287027088	71.1208972649056
chr12	31272750	31273144	395	14	0.879318335292086	0.242228923223321	0.637089412068765	70.2354381702876
chr4	908055	908377	323	17	0.884442064645836	0.389079022911751	0.495363041734085	65.981421722316
chr4	77837220	77837550	331	20	0.78866979368468	0.338425433903631	0.450244359781049	64.4354175642327
chr9	70938598	70938902	305	20	0.593995323428626	0.159735978581862	0.434259344846763	63.116765619107
chr8	141108758	141108998	241	19	0.391740168245636	0.753813989270408	-0.362073821024772	-61.9799248042102
chr3	197827308	197827658	351	16	0.377182632697686	0.858331248084081	-0.481148615386396	-58.358057998819
chr1	40025055	40025384	330	20	0.445551621991127	0.772956297537347	-0.32740467554622	-57.8043915574422
chr9	43453596	43453818	223	17	0.545286101521377	0.101806791584021	0.443479309937357	56.5937652528654
chr15	23931919	23932143	225	19	0.247220666195599	0.581373574570276	-0.334152908374677	-53.8954147982432
